18.07.2023 05:48:27: Voltage:4,92;MaxVoltage:4,92;MinVoltage:4,92;Ampere:14,32;MaxAmpere:14,32;MinAmpere:14,32;Temperature:5,79;MaxTemperature:5,79;MinTemperature:5,79
18.07.2023 05:48:29: Voltage:6,25;MaxVoltage:6,25;MinVoltage:4,92;Ampere:17,47;MaxAmpere:17,47;MinAmpere:14,32;Temperature:6,95;MaxTemperature:7;MinTemperature:5,79
18.07.2023 05:48:31: Voltage:7,46;MaxVoltage:7,46;MinVoltage:4,92;Ampere:20,51;MaxAmpere:20,61;MinAmpere:14,32;Temperature:8,05;MaxTemperature:8,15;MinTemperature:5,79
18.07.2023 05:48:33: Voltage:8,52;MaxVoltage:8,52;MinVoltage:4,92;Ampere:23,24;MaxAmpere:23,24;MinAmpere:14,32;Temperature:9,05;MaxTemperature:9,05;MinTemperature:5,79
18.07.2023 05:48:35: Voltage:9,18;MaxVoltage:9,25;MinVoltage:4,92;Ampere:25,09;MaxAmpere:25,09;MinAmpere:14,32;Temperature:9,54;MaxTemperature:9,6;MinTemperature:5,79
18.07.2023 05:48:38: Voltage:9,77;MaxVoltage:9,77;MinVoltage:4,92;Ampere:25,91;MaxAmpere:25,95;MinAmpere:14,32;Temperature:9,79;MaxTemperature:9,89;MinTemperature:5,79
18.07.2023 05:48:40: Voltage:9,9;MaxVoltage:9,91;MinVoltage:4,92;Ampere:25,96;MaxAmpere:26,13;MinAmpere:14,32;Temperature:9,81;MaxTemperature:9,91;MinTemperature:5,79
18.07.2023 05:48:42: Voltage:9,68;MaxVoltage:9,91;MinVoltage:4,92;Ampere:25,16;MaxAmpere:26,13;MinAmpere:14,32;Temperature:9,34;MaxTemperature:9,91;MinTemperature:5,79
18.07.2023 05:48:44: Voltage:9,16;MaxVoltage:9,91;MinVoltage:4,92;Ampere:23,51;MaxAmpere:26,13;MinAmpere:14,32;Temperature:8,57;MaxTemperature:9,91;MinTemperature:5,79
18.07.2023 05:48:46: Voltage:8,33;MaxVoltage:9,91;MinVoltage:4,92;Ampere:21,1;MaxAmpere:26,13;MinAmpere:14,32;Temperature:7,7;MaxTemperature:9,91;MinTemperature:5,79
18.07.2023 05:48:48: Voltage:7,2;MaxVoltage:9,91;MinVoltage:4,92;Ampere:17,98;MaxAmpere:26,13;MinAmpere:14,32;Temperature:6,47;MaxTemperature:9,91;MinTemperature:5,79
18.07.2023 05:48:50: Voltage:5,96;MaxVoltage:9,91;MinVoltage:4,92;Ampere:14,62;MaxAmpere:26,13;MinAmpere:14,32;Temperature:5,11;MaxTemperature:9,91;MinTemperature:5,11
18.07.2023 05:48:52: Voltage:4,62;MaxVoltage:9,91;MinVoltage:4,62;Ampere:11,46;MaxAmpere:26,13;MinAmpere:11,25;Temperature:3,93;MaxTemperature:9,91;MinTemperature:3,88
18.07.2023 05:48:54: Voltage:3,35;MaxVoltage:9,91;MinVoltage:3,35;Ampere:8,12;MaxAmpere:26,13;MinAmpere:8,04;Temperature:2,57;MaxTemperature:9,91;MinTemperature:2,57
