18.07.2023 05:48:29: Voltage:5,75;MaxVoltage:5,81;MinVoltage:4,92;Ampere:16,49;MaxAmpere:16,53;MinAmpere:14,32
18.07.2023 05:48:31: Voltage:7,04;MaxVoltage:7,04;MinVoltage:4,92;Ampere:19,53;MaxAmpere:19,53;MinAmpere:14,32
18.07.2023 05:48:33: Voltage:8,2;MaxVoltage:8,2;MinVoltage:4,92;Ampere:22,42;MaxAmpere:22,42;MinAmpere:14,32
18.07.2023 05:48:35: Voltage:8,94;MaxVoltage:9,02;MinVoltage:4,92;Ampere:24,17;MaxAmpere:24,43;MinAmpere:14,32
18.07.2023 05:48:37: Voltage:9,52;MaxVoltage:9,61;MinVoltage:4,92;Ampere:25,58;MaxAmpere:25,58;MinAmpere:14,32
18.07.2023 05:48:39: Voltage:9,87;MaxVoltage:9,87;MinVoltage:4,92;Ampere:26,17;MaxAmpere:26,17;MinAmpere:14,32
18.07.2023 05:48:41: Voltage:9,81;MaxVoltage:9,92;MinVoltage:4,92;Ampere:25,42;MaxAmpere:26,17;MinAmpere:14,32
18.07.2023 05:48:43: Voltage:9,38;MaxVoltage:9,92;MinVoltage:4,92;Ampere:24,11;MaxAmpere:26,17;MinAmpere:14,32
18.07.2023 05:48:45: Voltage:8,53;MaxVoltage:9,92;MinVoltage:4,92;Ampere:22,07;MaxAmpere:26,17;MinAmpere:14,32
18.07.2023 05:48:47: Voltage:7,64;MaxVoltage:9,92;MinVoltage:4,92;Ampere:19,21;MaxAmpere:26,17;MinAmpere:14,32
18.07.2023 05:48:49: Voltage:6,45;MaxVoltage:9,92;MinVoltage:4,92;Ampere:15,87;MaxAmpere:26,17;MinAmpere:14,32
18.07.2023 05:48:51: Voltage:5,22;MaxVoltage:9,92;MinVoltage:4,92;Ampere:12,38;MaxAmpere:26,17;MinAmpere:12,38
18.07.2023 05:48:53: Voltage:3,81;MaxVoltage:9,92;MinVoltage:3,81;Ampere:9,04;MaxAmpere:26,17;MinAmpere:9,04
18.07.2023 05:48:55: Voltage:2,61;MaxVoltage:9,92;MinVoltage:2,61;Ampere:6,01;MaxAmpere:26,17;MinAmpere:5,88
18.07.2023 05:48:57: Voltage:1,52;MaxVoltage:9,92;MinVoltage:1,52;Ampere:3,36;MaxAmpere:26,17;MinAmpere:3,36
