17.07.2023 12:45:44: Voltage:5,46;MaxVoltage:5,46;MinVoltage:4,92;Ampere:15,2;MaxAmpere:15,2;MinAmpere:14,32;Temperature:6,29;MaxTemperature:6,29;MinTemperature:5,79
17.07.2023 12:45:46: Voltage:6,65;MaxVoltage:6,7;MinVoltage:4,92;Ampere:18,43;MaxAmpere:18,45;MinAmpere:14,32;Temperature:7,42;MaxTemperature:7,47;MinTemperature:5,79
17.07.2023 12:45:48: Voltage:7,89;MaxVoltage:7,89;MinVoltage:4,92;Ampere:21,4;MaxAmpere:21,68;MinAmpere:14,32;Temperature:8,53;MaxTemperature:8,53;MinTemperature:5,79
17.07.2023 12:45:50: Voltage:8,85;MaxVoltage:8,85;MinVoltage:4,92;Ampere:23,81;MaxAmpere:23,81;MinAmpere:14,32;Temperature:9,26;MaxTemperature:9,28;MinTemperature:5,79
17.07.2023 12:45:52: Voltage:9,43;MaxVoltage:9,49;MinVoltage:4,92;Ampere:25,24;MaxAmpere:25,34;MinAmpere:14,32;Temperature:9,73;MaxTemperature:9,77;MinTemperature:5,79
17.07.2023 12:45:54: Voltage:9,77;MaxVoltage:9,85;MinVoltage:4,92;Ampere:26;MaxAmpere:26,12;MinAmpere:14,32;Temperature:9,79;MaxTemperature:9,9;MinTemperature:5,79
17.07.2023 12:45:56: Voltage:9,77;MaxVoltage:9,89;MinVoltage:4,92;Ampere:25,6;MaxAmpere:26,13;MinAmpere:14,32;Temperature:9,67;MaxTemperature:9,9;MinTemperature:5,79
17.07.2023 12:45:58: Voltage:9,38;MaxVoltage:9,89;MinVoltage:4,92;Ampere:24,62;MaxAmpere:26,13;MinAmpere:14,32;Temperature:9,04;MaxTemperature:9,9;MinTemperature:5,79
17.07.2023 12:46:00: Voltage:8,78;MaxVoltage:9,89;MinVoltage:4,92;Ampere:22,44;MaxAmpere:26,13;MinAmpere:14,32;Temperature:8,18;MaxTemperature:9,9;MinTemperature:5,79
17.07.2023 12:46:02: Voltage:7,87;MaxVoltage:9,89;MinVoltage:4,92;Ampere:19,65;MaxAmpere:26,13;MinAmpere:14,32;Temperature:7,13;MaxTemperature:9,9;MinTemperature:5,79
17.07.2023 12:46:04: Voltage:6,72;MaxVoltage:9,89;MinVoltage:4,92;Ampere:16,63;MaxAmpere:26,13;MinAmpere:14,32;Temperature:5,83;MaxTemperature:9,9;MinTemperature:5,79
17.07.2023 12:46:06: Voltage:5,39;MaxVoltage:9,89;MinVoltage:4,92;Ampere:12,93;MaxAmpere:26,13;MinAmpere:12,93;Temperature:4,47;MaxTemperature:9,9;MinTemperature:4,47
17.07.2023 12:46:08: Voltage:4,04;MaxVoltage:9,89;MinVoltage:4,04;Ampere:9,87;MaxAmpere:26,13;MinAmpere:9,64;Temperature:3,26;MaxTemperature:9,9;MinTemperature:3,26
17.07.2023 12:46:10: Voltage:2,9;MaxVoltage:9,89;MinVoltage:2,82;Ampere:6,42;MaxAmpere:26,13;MinAmpere:6,42;Temperature:2,16;MaxTemperature:9,9;MinTemperature:2,11
17.07.2023 12:46:12: Voltage:1,76;MaxVoltage:9,89;MinVoltage:1,76;Ampere:3,93;MaxAmpere:26,13;MinAmpere:3,76;Temperature:1,2;MaxTemperature:9,9;MinTemperature:1,18
17.07.2023 12:46:14: Voltage:0,95;MaxVoltage:9,89;MinVoltage:0,95;Ampere:1,73;MaxAmpere:26,13;MinAmpere:1,73;Temperature:0,53;MaxTemperature:9,9;MinTemperature:0,52
17.07.2023 12:46:16: Voltage:0,39;MaxVoltage:9,89;MinVoltage:0,38;Ampere:0,7;MaxAmpere:26,13;MinAmpere:0,57;Temperature:0,14;MaxTemperature:9,9;MinTemperature:0,14
17.07.2023 12:46:18: Voltage:0,17;MaxVoltage:9,89;MinVoltage:0,1;Ampere:0,58;MaxAmpere:26,13;MinAmpere:0,22;Temperature:0,17;MaxTemperature:9,9;MinTemperature:0,09
17.07.2023 12:46:20: Voltage:0,22;MaxVoltage:9,89;MinVoltage:0,1;Ampere:0,97;MaxAmpere:26,13;MinAmpere:0,22;Temperature:0,61;MaxTemperature:9,9;MinTemperature:0,09
17.07.2023 12:46:22: Voltage:0,82;MaxVoltage:9,89;MinVoltage:0,1;Ampere:2,59;MaxAmpere:26,13;MinAmpere:0,22;Temperature:1,19;MaxTemperature:9,9;MinTemperature:0,09
17.07.2023 12:46:24: Voltage:1,5;MaxVoltage:9,89;MinVoltage:0,1;Ampere:4,83;MaxAmpere:26,13;MinAmpere:0,22;Temperature:2,25;MaxTemperature:9,9;MinTemperature:0,09
17.07.2023 12:46:26: Voltage:2,54;MaxVoltage:9,89;MinVoltage:0,1;Ampere:7,63;MaxAmpere:26,13;MinAmpere:0,22;Temperature:3,41;MaxTemperature:9,9;MinTemperature:0,09
17.07.2023 12:46:28: Voltage:3,78;MaxVoltage:9,89;MinVoltage:0,1;Ampere:11,01;MaxAmpere:26,13;MinAmpere:0,22;Temperature:4,65;MaxTemperature:9,9;MinTemperature:0,09
17.07.2023 12:46:30: Voltage:5,16;MaxVoltage:9,89;MinVoltage:0,1;Ampere:14,66;MaxAmpere:26,13;MinAmpere:0,22;Temperature:5,9;MaxTemperature:9,9;MinTemperature:0,09
17.07.2023 12:46:32: Voltage:6,44;MaxVoltage:9,89;MinVoltage:0,1;Ampere:18,09;MaxAmpere:26,13;MinAmpere:0,22;Temperature:7,13;MaxTemperature:9,9;MinTemperature:0,09
17.07.2023 12:46:34: Voltage:7,58;MaxVoltage:9,89;MinVoltage:0,1;Ampere:21;MaxAmpere:26,13;MinAmpere:0,22;Temperature:8,29;MaxTemperature:9,9;MinTemperature:0,09
17.07.2023 12:46:36: Voltage:8,62;MaxVoltage:9,89;MinVoltage:0,1;Ampere:23,2;MaxAmpere:26,13;MinAmpere:0,22;Temperature:9,08;MaxTemperature:9,9;MinTemperature:0,09
17.07.2023 12:46:38: Voltage:9,36;MaxVoltage:9,89;MinVoltage:0,1;Ampere:25,09;MaxAmpere:26,13;MinAmpere:0,22;Temperature:9,61;MaxTemperature:9,9;MinTemperature:0,09
17.07.2023 12:46:40: Voltage:9,77;MaxVoltage:9,89;MinVoltage:0,1;Ampere:25,97;MaxAmpere:26,13;MinAmpere:0,22;Temperature:9,83;MaxTemperature:9,9;MinTemperature:0,09
17.07.2023 12:46:42: Voltage:9,8;MaxVoltage:9,9;MinVoltage:0,1;Ampere:25,94;MaxAmpere:26,17;MinAmpere:0,22;Temperature:9,68;MaxTemperature:9,91;MinTemperature:0,09
17.07.2023 12:46:44: Voltage:9,57;MaxVoltage:9,9;MinVoltage:0,1;Ampere:25,03;MaxAmpere:26,17;MinAmpere:0,22;Temperature:9,26;MaxTemperature:9,91;MinTemperature:0,09
