17.07.2023 12:45:45: Voltage:5,75;MaxVoltage:5,81;MinVoltage:4,92;Ampere:16,49;MaxAmpere:16,53;MinAmpere:14,32
17.07.2023 12:45:47: Voltage:7,12;MaxVoltage:7,12;MinVoltage:4,92;Ampere:19,71;MaxAmpere:19,71;MinAmpere:14,32
17.07.2023 12:45:49: Voltage:8,19;MaxVoltage:8,22;MinVoltage:4,92;Ampere:22,47;MaxAmpere:22,47;MinAmpere:14,32
17.07.2023 12:45:51: Voltage:8,99;MaxVoltage:9,06;MinVoltage:4,92;Ampere:24,25;MaxAmpere:24,43;MinAmpere:14,32
17.07.2023 12:45:53: Voltage:9,54;MaxVoltage:9,64;MinVoltage:4,92;Ampere:25,46;MaxAmpere:25,73;MinAmpere:14,32
17.07.2023 12:45:55: Voltage:9,87;MaxVoltage:9,91;MinVoltage:4,92;Ampere:26,1;MaxAmpere:26,17;MinAmpere:14,32
17.07.2023 12:45:57: Voltage:9,77;MaxVoltage:9,92;MinVoltage:4,92;Ampere:25,52;MaxAmpere:26,17;MinAmpere:14,32
17.07.2023 12:45:59: Voltage:9,26;MaxVoltage:9,92;MinVoltage:4,92;Ampere:23,82;MaxAmpere:26,17;MinAmpere:14,32
17.07.2023 12:46:01: Voltage:8,51;MaxVoltage:9,92;MinVoltage:4,92;Ampere:21,69;MaxAmpere:26,17;MinAmpere:14,32
17.07.2023 12:46:03: Voltage:7,51;MaxVoltage:9,92;MinVoltage:4,92;Ampere:18,78;MaxAmpere:26,17;MinAmpere:14,32
17.07.2023 12:46:05: Voltage:6,22;MaxVoltage:9,92;MinVoltage:4,92;Ampere:15,58;MaxAmpere:26,17;MinAmpere:14,32
17.07.2023 12:46:07: Voltage:5,02;MaxVoltage:9,92;MinVoltage:4,92;Ampere:11,86;MaxAmpere:26,17;MinAmpere:11,86
17.07.2023 12:46:09: Voltage:3,69;MaxVoltage:9,92;MinVoltage:3,68;Ampere:8,65;MaxAmpere:26,17;MinAmpere:8,65
17.07.2023 12:46:11: Voltage:2,51;MaxVoltage:9,92;MinVoltage:2,5;Ampere:5,65;MaxAmpere:26,17;MinAmpere:5,49
17.07.2023 12:46:13: Voltage:1,51;MaxVoltage:9,92;MinVoltage:1,48;Ampere:3,24;MaxAmpere:26,17;MinAmpere:3,03
17.07.2023 12:46:15: Voltage:0,65;MaxVoltage:9,92;MinVoltage:0,65;Ampere:1,57;MaxAmpere:26,17;MinAmpere:1,31
17.07.2023 12:46:17: Voltage:0,29;MaxVoltage:9,92;MinVoltage:0,23;Ampere:0,39;MaxAmpere:26,17;MinAmpere:0,34
17.07.2023 12:46:19: Voltage:0,15;MaxVoltage:9,92;MinVoltage:0,07;Ampere:0,48;MaxAmpere:26,17;MinAmpere:0,22
17.07.2023 12:46:21: Voltage:0,45;MaxVoltage:9,92;MinVoltage:0,07;Ampere:1,3;MaxAmpere:26,17;MinAmpere:0,22
17.07.2023 12:46:23: Voltage:0,97;MaxVoltage:9,92;MinVoltage:0,07;Ampere:3,38;MaxAmpere:26,17;MinAmpere:0,22
17.07.2023 12:46:25: Voltage:1,86;MaxVoltage:9,92;MinVoltage:0,07;Ampere:5,94;MaxAmpere:26,17;MinAmpere:0,22
17.07.2023 12:46:27: Voltage:3,02;MaxVoltage:9,92;MinVoltage:0,07;Ampere:8,66;MaxAmpere:26,17;MinAmpere:0,22
17.07.2023 12:46:29: Voltage:4,17;MaxVoltage:9,92;MinVoltage:0,07;Ampere:12,22;MaxAmpere:26,17;MinAmpere:0,22
17.07.2023 12:46:31: Voltage:5,49;MaxVoltage:9,92;MinVoltage:0,07;Ampere:15,75;MaxAmpere:26,17;MinAmpere:0,22
17.07.2023 12:46:33: Voltage:6,75;MaxVoltage:9,92;MinVoltage:0,07;Ampere:19,09;MaxAmpere:26,17;MinAmpere:0,22
17.07.2023 12:46:35: Voltage:7,99;MaxVoltage:9,92;MinVoltage:0,07;Ampere:21,95;MaxAmpere:26,17;MinAmpere:0,22
17.07.2023 12:46:37: Voltage:8,91;MaxVoltage:9,92;MinVoltage:0,07;Ampere:23,85;MaxAmpere:26,17;MinAmpere:0,22
17.07.2023 12:46:39: Voltage:9,55;MaxVoltage:9,92;MinVoltage:0,07;Ampere:25,36;MaxAmpere:26,17;MinAmpere:0,22
17.07.2023 12:46:41: Voltage:9,83;MaxVoltage:9,92;MinVoltage:0,07;Ampere:25,79;MaxAmpere:26,17;MinAmpere:0,22
17.07.2023 12:46:43: Voltage:9,74;MaxVoltage:9,92;MinVoltage:0,07;Ampere:25,69;MaxAmpere:26,17;MinAmpere:0,22
17.07.2023 12:46:45: Voltage:9,44;MaxVoltage:9,92;MinVoltage:0,07;Ampere:24,22;MaxAmpere:26,17;MinAmpere:0,22
17.07.2023 12:46:47: Voltage:8,73;MaxVoltage:9,92;MinVoltage:0,07;Ampere:22,16;MaxAmpere:26,17;MinAmpere:0,22
17.07.2023 12:46:49: Voltage:7,76;MaxVoltage:9,92;MinVoltage:0,07;Ampere:19,35;MaxAmpere:26,17;MinAmpere:0,22
17.07.2023 12:46:51: Voltage:6,55;MaxVoltage:9,92;MinVoltage:0,07;Ampere:16,19;MaxAmpere:26,17;MinAmpere:0,22
17.07.2023 12:46:53: Voltage:5,26;MaxVoltage:9,92;MinVoltage:0,07;Ampere:12,84;MaxAmpere:26,17;MinAmpere:0,22
17.07.2023 12:46:55: Voltage:3,94;MaxVoltage:9,92;MinVoltage:0,07;Ampere:9,55;MaxAmpere:26,17;MinAmpere:0,22
17.07.2023 12:46:57: Voltage:2,76;MaxVoltage:9,92;MinVoltage:0,07;Ampere:6,3;MaxAmpere:26,17;MinAmpere:0,22
17.07.2023 12:46:59: Voltage:1,75;MaxVoltage:9,92;MinVoltage:0,07;Ampere:3,76;MaxAmpere:26,17;MinAmpere:0,22
17.07.2023 12:47:01: Voltage:0,84;MaxVoltage:9,92;MinVoltage:0,07;Ampere:1,78;MaxAmpere:26,17;MinAmpere:0,22
17.07.2023 12:47:03: Voltage:0,39;MaxVoltage:9,92;MinVoltage:0,07;Ampere:0,76;MaxAmpere:26,17;MinAmpere:0,22
17.07.2023 12:47:05: Voltage:0,12;MaxVoltage:9,92;MinVoltage:0,07;Ampere:0,41;MaxAmpere:26,17;MinAmpere:0,21
17.07.2023 12:47:07: Voltage:0,25;MaxVoltage:9,92;MinVoltage:0,07;Ampere:1,13;MaxAmpere:26,17;MinAmpere:0,21
17.07.2023 12:47:09: Voltage:0,78;MaxVoltage:9,92;MinVoltage:0,07;Ampere:2,85;MaxAmpere:26,17;MinAmpere:0,21
17.07.2023 12:47:11: Voltage:1,56;MaxVoltage:9,92;MinVoltage:0,07;Ampere:5,01;MaxAmpere:26,17;MinAmpere:0,21
17.07.2023 12:47:13: Voltage:2,61;MaxVoltage:9,92;MinVoltage:0,07;Ampere:7,85;MaxAmpere:26,17;MinAmpere:0,21
17.07.2023 12:47:15: Voltage:3,9;MaxVoltage:9,92;MinVoltage:0,07;Ampere:11,31;MaxAmpere:26,17;MinAmpere:0,21
17.07.2023 12:47:17: Voltage:5,21;MaxVoltage:9,92;MinVoltage:0,07;Ampere:14,81;MaxAmpere:26,17;MinAmpere:0,21
17.07.2023 12:47:19: Voltage:6,45;MaxVoltage:9,92;MinVoltage:0,07;Ampere:17,92;MaxAmpere:26,17;MinAmpere:0,21
17.07.2023 12:47:21: Voltage:7,69;MaxVoltage:9,92;MinVoltage:0,07;Ampere:20,99;MaxAmpere:26,17;MinAmpere:0,21
17.07.2023 12:47:23: Voltage:8,63;MaxVoltage:9,92;MinVoltage:0,07;Ampere:23,49;MaxAmpere:26,17;MinAmpere:0,21
17.07.2023 12:47:25: Voltage:9,41;MaxVoltage:9,92;MinVoltage:0,07;Ampere:25,18;MaxAmpere:26,17;MinAmpere:0,21
17.07.2023 12:47:27: Voltage:9,74;MaxVoltage:9,92;MinVoltage:0,07;Ampere:25,83;MaxAmpere:26,17;MinAmpere:0,21
17.07.2023 12:47:29: Voltage:9,83;MaxVoltage:9,92;MinVoltage:0,07;Ampere:25,82;MaxAmpere:26,17;MinAmpere:0,21
17.07.2023 12:47:31: Voltage:9,51;MaxVoltage:9,92;MinVoltage:0,07;Ampere:24,58;MaxAmpere:26,17;MinAmpere:0,21
17.07.2023 12:47:33: Voltage:8,95;MaxVoltage:9,92;MinVoltage:0,07;Ampere:22,64;MaxAmpere:26,17;MinAmpere:0,21
17.07.2023 12:47:35: Voltage:7,94;MaxVoltage:9,92;MinVoltage:0,07;Ampere:20,04;MaxAmpere:26,17;MinAmpere:0,21
17.07.2023 12:47:37: Voltage:6,92;MaxVoltage:9,92;MinVoltage:0,07;Ampere:16,91;MaxAmpere:26,17;MinAmpere:0,21
17.07.2023 12:47:39: Voltage:5,55;MaxVoltage:9,92;MinVoltage:0,07;Ampere:13,81;MaxAmpere:26,17;MinAmpere:0,21
17.07.2023 12:47:41: Voltage:4,32;MaxVoltage:9,92;MinVoltage:0,07;Ampere:10,22;MaxAmpere:26,17;MinAmpere:0,21
17.07.2023 12:47:43: Voltage:3,07;MaxVoltage:9,92;MinVoltage:0,07;Ampere:7,17;MaxAmpere:26,17;MinAmpere:0,21
17.07.2023 12:47:46: Voltage:2;MaxVoltage:9,92;MinVoltage:0,07;Ampere:4,11;MaxAmpere:26,17;MinAmpere:0,21
17.07.2023 12:47:48: Voltage:1;MaxVoltage:9,92;MinVoltage:0,07;Ampere:2,09;MaxAmpere:26,17;MinAmpere:0,21
17.07.2023 12:47:50: Voltage:0,37;MaxVoltage:9,92;MinVoltage:0,07;Ampere:0,72;MaxAmpere:26,17;MinAmpere:0,21
17.07.2023 12:47:52: Voltage:0,2;MaxVoltage:9,92;MinVoltage:0,07;Ampere:0,26;MaxAmpere:26,17;MinAmpere:0,21
17.07.2023 12:47:54: Voltage:0,31;MaxVoltage:9,92;MinVoltage:0,07;Ampere:0,76;MaxAmpere:26,17;MinAmpere:0,21
17.07.2023 12:47:56: Voltage:0,69;MaxVoltage:9,92;MinVoltage:0,07;Ampere:2,32;MaxAmpere:26,17;MinAmpere:0,21
17.07.2023 12:47:58: Voltage:1,47;MaxVoltage:9,92;MinVoltage:0,07;Ampere:4,64;MaxAmpere:26,17;MinAmpere:0,21
17.07.2023 12:48:00: Voltage:2,4;MaxVoltage:9,92;MinVoltage:0,07;Ampere:7,18;MaxAmpere:26,17;MinAmpere:0,21
