11.07.2023 11:15:11: Voltage:4,92;MaxVoltage:4,92;MinVoltage:4,92;Ampere:0,14;MaxAmpere:0,14;MinAmpere:0,14;Temperature:5,79;MaxTemperature:5,79;MinTemperature:5,79
11.07.2023 11:15:13: Voltage:6,86;MaxVoltage:6,86;MinVoltage:4,92;Ampere:0,19;MaxAmpere:0,19;MinAmpere:0,14;Temperature:7,6;MaxTemperature:7,67;MinTemperature:5,79
11.07.2023 11:15:15: Voltage:8,55;MaxVoltage:8,55;MinVoltage:4,92;Ampere:0,23;MaxAmpere:0,23;MinAmpere:0,14;Temperature:9,03;MaxTemperature:9,04;MinTemperature:5,79
11.07.2023 11:15:17: Voltage:9,5;MaxVoltage:9,54;MinVoltage:4,92;Ampere:0,26;MaxAmpere:0,26;MinAmpere:0,14;Temperature:9,76;MaxTemperature:9,82;MinTemperature:5,79
11.07.2023 11:15:19: Voltage:9,81;MaxVoltage:9,89;MinVoltage:4,92;Ampere:0,26;MaxAmpere:0,26;MinAmpere:0,14;Temperature:9,78;MaxTemperature:9,92;MinTemperature:5,79
11.07.2023 11:15:21: Voltage:9,39;MaxVoltage:9,89;MinVoltage:4,92;Ampere:0,24;MaxAmpere:0,26;MinAmpere:0,14;Temperature:8,96;MaxTemperature:9,92;MinTemperature:5,79
11.07.2023 11:15:23: Voltage:8,32;MaxVoltage:9,89;MinVoltage:4,92;Ampere:0,21;MaxAmpere:0,26;MinAmpere:0,14;Temperature:7,58;MaxTemperature:9,92;MinTemperature:5,79
11.07.2023 11:15:25: Voltage:6,61;MaxVoltage:9,89;MinVoltage:4,92;Ampere:0,16;MaxAmpere:0,26;MinAmpere:0,14;Temperature:5,71;MaxTemperature:9,92;MinTemperature:5,71
11.07.2023 11:15:27: Voltage:4,62;MaxVoltage:9,89;MinVoltage:4,62;Ampere:0,11;MaxAmpere:0,26;MinAmpere:0,11;Temperature:3,86;MaxTemperature:9,92;MinTemperature:3,84
11.07.2023 11:15:29: Voltage:2,72;MaxVoltage:9,89;MinVoltage:2,72;Ampere:0,06;MaxAmpere:0,26;MinAmpere:0,06;Temperature:2,1;MaxTemperature:9,92;MinTemperature:2,06
11.07.2023 11:15:31: Voltage:1,24;MaxVoltage:9,89;MinVoltage:1,21;Ampere:0,02;MaxAmpere:0,26;MinAmpere:0,02;Temperature:0,84;MaxTemperature:9,92;MinTemperature:0,76
11.07.2023 11:15:33: Voltage:0,36;MaxVoltage:9,89;MinVoltage:0,3;Ampere:0,01;MaxAmpere:0,26;MinAmpere:0,01;Temperature:0,19;MaxTemperature:9,92;MinTemperature:0,11
11.07.2023 11:15:35: Voltage:0,11;MaxVoltage:9,89;MinVoltage:0,08;Ampere:0,01;MaxAmpere:0,26;MinAmpere:0;Temperature:0,43;MaxTemperature:9,92;MinTemperature:0,08
11.07.2023 11:15:37: Voltage:0,85;MaxVoltage:9,89;MinVoltage:0,08;Ampere:0,03;MaxAmpere:0,26;MinAmpere:0;Temperature:1,23;MaxTemperature:9,92;MinTemperature:0,08
11.07.2023 11:15:39: Voltage:2,17;MaxVoltage:9,89;MinVoltage:0,08;Ampere:0,06;MaxAmpere:0,26;MinAmpere:0;Temperature:2,89;MaxTemperature:9,92;MinTemperature:0,08
11.07.2023 11:15:41: Voltage:3,86;MaxVoltage:9,89;MinVoltage:0,08;Ampere:0,11;MaxAmpere:0,26;MinAmpere:0;Temperature:4,7;MaxTemperature:9,92;MinTemperature:0,08
11.07.2023 11:15:43: Voltage:5,78;MaxVoltage:9,89;MinVoltage:0,08;Ampere:0,16;MaxAmpere:0,26;MinAmpere:0;Temperature:6,65;MaxTemperature:9,92;MinTemperature:0,08
11.07.2023 11:15:45: Voltage:7,69;MaxVoltage:9,89;MinVoltage:0,08;Ampere:0,21;MaxAmpere:0,26;MinAmpere:0;Temperature:8,22;MaxTemperature:9,92;MinTemperature:0,08
11.07.2023 11:15:47: Voltage:8,97;MaxVoltage:9,89;MinVoltage:0,08;Ampere:0,25;MaxAmpere:0,26;MinAmpere:0;Temperature:9,37;MaxTemperature:9,92;MinTemperature:0,08
11.07.2023 11:15:49: Voltage:9,78;MaxVoltage:9,89;MinVoltage:0,08;Ampere:0,26;MaxAmpere:0,26;MinAmpere:0;Temperature:9,79;MaxTemperature:9,92;MinTemperature:0,08
11.07.2023 11:15:51: Voltage:9,75;MaxVoltage:9,9;MinVoltage:0,08;Ampere:0,25;MaxAmpere:0,26;MinAmpere:0;Temperature:9,53;MaxTemperature:9,92;MinTemperature:0,08
11.07.2023 11:15:53: Voltage:9,01;MaxVoltage:9,9;MinVoltage:0,08;Ampere:0,23;MaxAmpere:0,26;MinAmpere:0;Temperature:8,39;MaxTemperature:9,92;MinTemperature:0,08
11.07.2023 11:15:55: Voltage:7,49;MaxVoltage:9,9;MinVoltage:0,08;Ampere:0,19;MaxAmpere:0,26;MinAmpere:0;Temperature:6,83;MaxTemperature:9,92;MinTemperature:0,08
11.07.2023 11:15:57: Voltage:5,72;MaxVoltage:9,9;MinVoltage:0,08;Ampere:0,14;MaxAmpere:0,26;MinAmpere:0;Temperature:4,82;MaxTemperature:9,92;MinTemperature:0,08
11.07.2023 11:15:59: Voltage:3,69;MaxVoltage:9,9;MinVoltage:0,08;Ampere:0,09;MaxAmpere:0,26;MinAmpere:0;Temperature:2,96;MaxTemperature:9,92;MinTemperature:011.07.2023 11:19:39: 
11.07.2023 11:19:41: Voltage:0,01;MaxVoltage:0,02;MinVoltage:0;Ampere:0;MaxAmpere:0;MinAmpere:0;Temperature:0,01;MaxTemperature:0,02;MinTemperature:0
11.07.2023 11:19:43: Voltage:0,02;MaxVoltage:0,02;MinVoltage:0;Ampere:0;MaxAmpere:0;MinAmpere:0;Temperature:0,01;MaxTemperature:0,02;MinTemperature:0
11.07.2023 11:19:45: Voltage:0;MaxVoltage:0,02;MinVoltage:0;Ampere:0;MaxAmpere:0;MinAmpere:0;Temperature:0,01;MaxTemperature:0,02;MinTemperature:0
11.07.2023 11:19:47: Voltage:0,01;MaxVoltage:0,02;MinVoltage:0;Ampere:0;MaxAmpere:0;MinAmpere:0;Temperature:0;MaxTemperature:0,02;MinTemperature:0
11.07.2023 11:19:49: Voltage:0,01;MaxVoltage:0,02;MinVoltage:0;Ampere:0;MaxAmpere:0;MinAmpere:0;Temperature:0,01;MaxTemperature:0,02;MinTemperature:0
11.07.2023 11:19:51: Voltage:0;MaxVoltage:0,02;MinVoltage:0;Ampere:0;MaxAmpere:0;MinAmpere:0;Temperature:0;MaxTemperature:0,02;MinTemperature:0
11.07.2023 11:19:53: Voltage:0;MaxVoltage:0,02;MinVoltage:0;Ampere:0;MaxAmpere:0;MinAmpere:0;Temperature:0,01;MaxTemperature:0,02;MinTemperature:0
11.07.2023 11:19:55: Voltage:0,01;MaxVoltage:0,02;MinVoltage:0;Ampere:0;MaxAmpere:0;MinAmpere:0;Temperature:0,01;MaxTemperature:0,02;MinTemperature:0
11.07.2023 11:19:57: Voltage:0,01;MaxVoltage:0,02;MinVoltage:0;Ampere:0;MaxAmpere:0;MinAmpere:0;Temperature:0;MaxTemperature:0,02;MinTemperature:0
11.07.2023 11:19:59: Voltage:0;MaxVoltage:0,02;MinVoltage:0;Ampere:0;MaxAmpere:0;MinAmpere:0;Temperature:0;MaxTemperature:0,02;MinTemperature:0
11.07.2023 11:20:01: Voltage:0;MaxVoltage:0,02;MinVoltage:0;Ampere:0;MaxAmpere:0;MinAmpere:0;Temperature:0,01;MaxTemperature:0,02;MinTemperature:0
